LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
City of Cuernavaca Park,904,None,None,1,Park Circulation,Concrete,0.00876582,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71832,105659,2019-01-01 00:00:00,Good
Gates Crescent Park,907,None,None,1,Park Circulation,Concrete,0.05241493,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72102,106465,2018-10-03 00:00:00,Poor
Crescent Park,L25,None,None,1,Park Circulation,Concrete,0.03053008,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70952,108534,2019-01-01 00:00:00,Good
Pulaski Park,319,None,None,1,Park Circulation,Concrete,0.00979137,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71103,105593,2019-01-01 00:00:00,Good
Arkins Promenade,945,None,None,1,Park Circulation,Concrete,0.01658985,8.0,None,City & County of Denver,None,2022,None,WLKTRL,WLK-HARD,77408,None,2022-06-07 00:00:00,100
Valverde Park,834,None,None,1,Park Circulation,Concrete,0.01678954,None,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,73523,104350,2019-01-01 00:00:00,Good
56th Ave Greenway,580,None,None,1,Park Circulation,Crusher Fines,0.24462981,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,77347,None,None,None
Community Plaza Park,042,None,None,1,Park Circulation,Concrete,0.0206432,7.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71620,106418,2019-01-01 00:00:00,Good
Granado (Lorraine) Community Park,941,None,None,1,Park Circulation,Concrete,0.01927058,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74606,106789,2019-01-01 00:00:00,Good
Washington Park,711,None,None,1,Park Circulation,Crusher Fines,0.02122222,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-HARD,73825,105933,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Crusher Fines,0.13825191,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,70057,105427,2019-01-01 00:00:00,Good
Wallace Park,612,None,None,1,Park Circulation,Concrete,0.02066999,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73933,108856,2019-01-01 00:00:00,Good
Weir Gulch Marina,917,None,None,1,Park Circulation,Crusher Fines,0.03093725,None,None,City & County of Denver,None,2014,None,WLKTRL,WLK-SOFT,76599,None,2019-01-01 00:00:00,80
Greenway Park,556,Greenway Trail,None,2,Minor,Concrete,0.05331991,10.0,None,City & County of Denver,None,2008,None,WLKTRL,TRL-MNR,72136,107221,2019-01-01 00:00:00,Good
Cuatro Vientos,825,None,None,1,Park Circulation,Concrete,0.0116129,8.0,None,City & County of Denver,None,2014,None,WLKTRL,WLK-HARD,76496,114961,2019-01-01 00:00:00,Good
Flores Park,322,None,None,1,Park Circulation,Concrete,0.02445903,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75072,105343,2019-01-01 00:00:00,Good
Governors Park,316,None,None,1,Park Circulation,Concrete,0.03311341,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72128,107213,2019-01-01 00:00:00,Good
Loretto Heights,163,None,None,1,Park Circulation,Concrete,0.02431447,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72755,104221,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Right of Way Walk,Concrete,0.05189716,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72174,107971,2019-01-01 00:00:00,Good
Lowry Open Space,L28,None,None,1,Park Circulation,Concrete,0.03204743,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76362,114790,2019-01-01 00:00:00,Good
